"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6536","US-04 : Création d'un client","chromium","2026-06-25","passed","2026-06-25","","creationclient.spec.ts","",""
"","6718","US-05 : Création d'un devis","chromium","2026-06-25","passed","2026-06-25","","devis.spec.ts","",""
"","5957","inscription valide","chromium","2026-06-25","passed","2026-06-25","","login.spec.ts","",""
"","5804","US-02 : Connexion","chromium","2026-06-25","passed","2026-06-25","","login.spec.ts","",""
"","6571","US-03 : Modification du profil entreprise","chromium","2026-06-25","passed","2026-06-25","","profil.spec.ts","",""
